,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,City_11,City_12,City_13,City_14,City_15,City_16,City_17,City_18,City_19,City_20,City_21,City_22,City_23,City_24,City_25,City_26,City_27,City_28,City_29,City_30,City_31,City_32,City_33,City_34,City_35,City_36,City_37,City_38,City_39,City_40,City_41,City_42,City_43,City_44,City_45,City_46,City_47,City_48
City_12,234,857,362,439,480,654,421,612,871,381,126,0,780,627,642,767,571,301,707,145,736,918,243,564,884,317,253,96,830,985,535,889,723,217,454,470,750,251,487,421,935,689,221,199,810,322,406,775
City_13,757,596,535,945,685,462,206,772,906,101,751,780,0,91,125,515,603,613,910,680,513,672,814,770,911,593,315,840,739,315,146,284,430,740,278,843,200,791,315,199,843,852,225,219,858,49,44,58
City_14,116,863,87,405,510,207,214,258,354,569,866,627,91,0,645,604,20,245,50,808,43,550,80,131,463,655,488,940,551,136,173,146,538,470,331,91,520,113,542,475,268,504,420,603,194,959,211,433
City_15,133,438,159,999,655,427,321,172,49,242,131,642,125,645,0,475,956,829,944,273,675,254,200,577,984,824,379,763,509,975,733,162,936,821,745,745,28,685,864,777,421,788,810,308,450,114,909,808
City_16,658,846,681,856,517,301,30,146,39,423,553,767,515,604,475,0,425,774,616,722,304,423,598,494,744,892,436,625,579,378,828,142,668,707,505,234,201,554,212,680,435,384,685,52,207,924,100,601
City_17,67,414,493,946,155,815,156,163,313,462,178,571,603,20,956,425,0,785,386,203,307,179,390,695,434,857,841,296,54,737,42,273,701,785,555,369,349,856,402,656,782,445,689,730,409,219,839,237
City_18,93,810,635,923,801,461,777,965,21,26,719,301,613,245,829,774,785,0,723,949,490,58,770,504,141,258,788,398,765,551,642,684,153,135,113,487,988,651,900,485,763,790,695,857,697,84,102,313
City_19,564,737,509,881,448,642,301,484,153,888,872,707,910,50,944,616,386,723,0,795,705,261,977,698,838,250,809,832,222,682,452,355,775,655,710,559,886,893,304,974,779,889,729,772,865,240,516,529
City_20,962,166,374,506,783,527,375,659,381,603,819,145,680,808,273,722,203,949,795,0,571,931,121,383,821,914,665,378,507,772,874,968,645,168,374,258,944,502,533,884,301,831,499,37,373,49,639,42
City_21,244,504,23,80,277,279,599,514,101,865,90,736,513,43,675,304,307,490,705,571,0,284,547,883,179,46,34,343,247,812,34,783,31,90,759,427,601,131,188,591,512,306,424,79,94,995,481,289
City_22,131,291,927,341,779,631,647,616,695,261,756,918,672,550,254,423,179,58,261,931,284,0,878,292,190,111,59,297,723,413,380,665,36,351,466,729,510,489,965,99,215,940,52,780,20,610,147,164
City_23,429,431,279,904,701,738,341,767,609,866,411,243,814,80,200,598,390,770,977,121,547,878,0,912,715,882,802,852,900,415,182,568,259,561,749,30,975,819,789,413,143,193,553,860,137,74,462,305
City_24,359,785,775,786,226,361,539,771,45,986,609,564,770,131,577,494,695,504,698,383,883,292,912,0,47,859,640,771,500,759,847,800,487,293,966,69,999,318,756,872,321,43,24,945,318,840,939,634
City_25,866,178,242,992,460,975,474,238,629,244,209,884,911,463,984,744,434,141,838,821,179,190,715,47,0,402,362,849,956,480,239,239,806,120,562,581,701,890,36,751,727,793,335,806,717,234,571,399
City_26,273,200,282,343,491,522,887,905,649,583,268,317,593,655,824,892,857,258,250,914,46,111,882,859,402,0,41,445,407,482,119,762,649,799,312,771,572,77,82,346,498,920,110,364,548,943,906,942
City_27,440,602,285,832,595,452,245,536,497,885,236,253,315,488,379,436,841,788,809,665,34,59,802,640,362,41,0,663,964,440,221,925,132,886,539,554,132,263,858,392,210,597,313,679,946,689,195,748
City_28,628,385,107,839,501,332,699,169,474,279,243,96,840,940,763,625,296,398,832,378,343,297,852,771,849,445,663,0,936,536,128,196,530,499,783,916,979,487,431,908,319,393,963,504,527,159,37,648
City_29,228,391,34,667,535,875,998,564,462,148,47,830,739,551,509,579,54,765,222,507,247,723,900,500,956,407,964,936,0,418,421,730,982,219,816,475,148,382,137,232,250,64,597,309,424,195,180,907
City_30,88,174,487,108,37,632,240,443,433,124,341,985,315,136,975,378,737,551,682,772,812,413,415,759,480,482,440,536,418,0,121,265,819,210,71,300,416,382,611,389,892,359,559,207,27,524,434,239
City_31,837,740,909,986,108,920,442,405,613,658,36,535,146,173,733,828,42,642,452,874,34,380,182,847,239,119,221,128,421,121,0,506,726,928,826,40,592,934,739,303,88,411,418,521,220,933,551,247
City_32,843,410,218,161,770,345,921,886,425,146,494,889,284,146,162,142,273,684,355,968,783,665,568,800,239,762,925,196,730,265,506,0,630,508,325,254,982,866,600,623,443,669,705,406,197,826,761,119
City_33,471,802,160,432,235,132,157,126,164,353,917,723,430,538,936,668,701,153,775,645,31,36,259,487,806,649,132,530,982,819,726,630,0,526,260,351,915,598,760,969,860,624,47,264,745,916,927,87
City_34,22,275,458,384,217,332,188,486,306,626,155,217,740,470,821,707,785,135,655,168,90,351,561,293,120,799,886,499,219,210,928,508,526,0,838,604,749,39,254,666,198,77,28,52,745,468,155,69
City_35,360,264,559,339,629,592,509,635,459,185,313,454,278,331,745,505,555,113,710,374,759,466,749,966,562,312,539,783,816,71,826,325,260,838,0,710,598,662,738,195,115,859,665,24,898,547,257,72
City_36,59,379,826,360,582,669,344,878,484,645,423,470,843,91,745,234,369,487,559,258,427,729,30,69,581,771,554,916,475,300,40,254,351,604,710,0,974,779,642,434,607,172,442,75,480,177,278,562
City_37,342,991,421,952,377,214,526,379,178,584,787,750,200,520,28,201,349,988,886,944,601,510,975,999,701,572,132,979,148,416,592,982,915,749,598,974,0,685,431,416,118,504,575,57,791,225,322,539
City_38,616,970,977,651,150,693,235,439,32,871,900,251,791,113,685,554,856,651,893,502,131,489,819,318,890,77,263,487,382,382,934,866,598,39,662,779,685,0,91,375,456,494,302,76,637,938,208,287
City_39,579,987,898,516,678,89,764,590,622,790,211,487,315,542,864,212,402,900,304,533,188,965,789,756,36,82,858,431,137,611,739,600,760,254,738,642,431,91,0,670,879,657,558,521,745,790,552,670
City_40,524,149,862,500,834,656,425,954,487,513,760,421,199,475,777,680,656,485,974,884,591,99,413,872,751,346,392,908,232,389,303,623,969,666,195,434,416,375,670,0,436,723,303,881,455,193,367,896
City_41,977,575,887,397,577,413,621,789,420,244,908,935,843,268,421,435,782,763,779,301,512,215,143,321,727,498,210,319,250,892,88,443,860,198,115,607,118,456,879,436,0,170,646,165,680,890,144,673
City_42,196,206,648,444,973,227,838,508,112,546,424,689,852,504,788,384,445,790,889,831,306,940,193,43,793,920,597,393,64,359,411,669,624,77,859,172,504,494,657,723,170,0,633,814,532,927,590,654
City_43,155,377,119,492,951,271,952,456,570,534,109,221,225,420,810,685,689,695,729,499,424,52,553,24,335,110,313,963,597,559,418,705,47,28,665,442,575,302,558,303,646,633,0,720,350,216,181,261
City_44,893,715,213,904,550,560,64,933,374,879,306,199,219,603,308,52,730,857,772,37,79,780,860,945,806,364,679,504,309,207,521,406,264,52,24,75,57,76,521,881,165,814,720,0,562,666,274,116
City_45,119,557,835,782,495,342,624,193,539,386,231,810,858,194,450,207,409,697,865,373,94,20,137,318,717,548,946,527,424,27,220,197,745,745,898,480,791,637,745,455,680,532,350,562,0,342,837,492
City_46,400,454,513,979,706,30,359,810,638,258,857,322,49,959,114,924,219,84,240,49,995,610,74,840,234,943,689,159,195,524,933,826,916,468,547,177,225,938,790,193,890,927,216,666,342,0,916,865
City_47,880,844,36,78,970,760,357,530,185,692,133,406,44,211,909,100,839,102,516,639,481,147,462,939,571,906,195,37,180,434,551,761,927,155,257,278,322,208,552,367,144,590,181,274,837,916,0,932
City_48,200,325,665,513,523,791,403,73,34,998,418,775,58,433,808,601,237,313,529,42,289,164,305,634,399,942,748,648,907,239,247,119,87,69,72,562,539,287,670,896,673,654,261,116,492,865,932,0
